X,Long,Lat,AreaSKM,Perimeter KM,HII,Elevation_m,County,siteid,sitenames,inMod,WDFWDetection,WDFWReproDetection,WDFWsurvey,eBirdDetect,Percent Canopy Cover,River Indicator,Perimeter Complexity,NLCDCode,Forest Type,Developed Type,Other Type,Open water Type
1458,-119.44977,45.90545,0.04210538,2.671275485,34,83,Benton,NA,NA,0,0,0,0,0,0,0,13.01816833,11,0,0,0,1
1459,-119.43687,47.03744,0.058,4.183891993,7,316,Grant,NA,NA,0,0,0,0,0,0,0,17.37266591,11,0,0,0,1
1460,-121.89705,47.51645,0.07655871,2.625149203,25,286,King,NA,NA,0,0,0,0,0,0,0,9.487607037,71,0,0,1,0
1461,-121.85731,47.64036,0.079,2.136569469,14,172,King,NA,NA,0,0,0,0,0,48,0,7.601573035,90,0,0,0,1
1462,-121.82945,46.00299,0.044,1.502765115,0,1327,Skamania,NA,NA,0,0,0,0,0,0,0,7.16415159,11,0,0,0,1
1463,-119.28899,46.92386,0.265,7.151897905,11,277,Grant,NA,NA,0,0,0,0,0,0,0,13.89307465,11,0,0,0,1
1464,-119.18346,47.98057,0.042,1.395886339,15,736,Douglas,NA,NA,0,0,0,0,0,0,0,6.811227899,11,0,0,0,1
1465,-119.54825,48.55474,0.117,2.035782719,15,314,Okanogan,NA,NA,0,0,0,0,0,0,0,5.951665199,11,0,0,0,1
1466,-119.12265,48.03157,0.044,1.349502582,11,773,Douglas,NA,NA,0,0,0,0,0,0,0,6.433501132,71,0,0,1,0
1467,-119.31322,47.40655,0.419,12.28481575,26,381,Grant,NA,NA,0,0,0,0,0,0,0,18.97848915,52,0,0,1,0
1468,-119.34531,47.05698,0.044,3.412910605,7,316,Grant,NA,NA,0,0,0,0,0,0,0,16.27041291,11,0,0,0,1
1469,-119.09069,48.09208,0.041,1.562959514,11,778,Douglas,NA,NA,0,0,0,0,0,0,0,7.71890685,71,0,0,1,0
1470,-118.9696,46.16543,0.04691783,2.628844687,39,123,Walla Walla,NA,NA,0,0,0,0,0,0,0,12.13657014,11,0,0,0,1
1471,-118.93259,48.05588,0.264,3.201800491,11,627,Okanogan,NA,NA,0,0,0,0,0,24,0,6.231495754,95,0,0,0,1
1472,-119.50595,48.1779,0.045,1.466425727,14,763,Okanogan,NA,NA,0,0,0,0,0,0,0,6.91279717,11,0,0,0,1
1473,-118.90174,46.05844,0.139,2.257203643,23,105,Walla Walla,NA,NA,0,0,0,0,0,0,0,6.05429171,11,0,0,0,1
1474,-119.22457,46.93984,0.041,3.144261338,14,311,Grant,NA,NA,0,0,0,0,0,0,0,15.52839991,52,0,0,1,0
1475,-118.05212,46.95866,0.042,1.481217384,13,478,Adams,NA,NA,0,0,0,0,0,0,0,7.227600766,82,0,1,0,0
1476,-122.29337,47.43846,0.051,1.525307153,52,110,King,NA,NA,0,0,0,0,0,0,0,6.754173598,11,0,0,0,1
1477,-121.71042,45.68864,0.157,3.37659089,29,30,Skamania,NA,NA,0,0,0,0,0,0,0,8.521746644,11,0,0,0,1
1478,-117.81315,48.50084,0.075,2.081562351,13,660,Stevens,NA,NA,0,0,0,0,0,0,0,7.600791029,11,0,0,0,1
1479,-117.81513,48.51869,0.237,3.927716209,13,678,Stevens,NA,NA,0,0,0,0,0,0,0,8.068000714,11,0,0,0,1
1480,-119.00775,46.1524,0.04222028,1.33485998,35,105,Benton,NA,NA,0,0,0,0,0,0,0,6.49643591,82,0,1,0,0
